OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageFinish,GarageCars,GarageArea,SalePrice
7,2003,2003,3,3.0,856.0,856,1710,2,2.0,8,2.0,2.0,548.0,208500.0
6,1976,1976,1,3.0,1262.0,1262,1262,2,1.0,6,2.0,2.0,460.0,181500.0
7,2001,2002,3,3.0,920.0,920,1786,2,2.0,6,2.0,2.0,608.0,223500.0
7,1915,1970,1,2.0,756.0,961,1717,1,2.0,7,1.0,3.0,642.0,140000.0
8,2000,2000,3,3.0,1145.0,1145,2198,2,2.0,9,2.0,3.0,836.0,250000.0
5,1993,1995,1,3.0,796.0,796,1362,1,1.0,5,1.0,2.0,480.0,143000.0
8,2004,2005,3,4.0,1686.0,1694,1694,2,2.0,7,2.0,2.0,636.0,307000.0
7,1973,1973,1,3.0,1107.0,1107,2090,2,1.0,7,2.0,2.0,484.0,200000.0
7,1931,1950,1,2.0,952.0,1022,1774,2,1.0,8,1.0,2.0,468.0,129900.0
5,1939,1950,1,2.0,991.0,1077,1077,1,1.0,5,2.0,1.0,205.0,118000.0
5,1965,1965,1,2.0,1040.0,1040,1040,1,1.0,5,1.0,1.0,384.0,129500.0
9,2005,2006,2,4.0,1175.0,1182,2324,3,3.0,11,3.0,3.0,736.0,345000.0
5,1962,1962,1,2.0,912.0,912,912,1,1.0,4,1.0,1.0,352.0,144000.0
7,2006,2007,3,3.0,1494.0,1494,1494,2,2.0,7,2.0,3.0,840.0,279500.0
6,1960,1960,1,2.0,1253.0,1253,1253,1,1.0,5,2.0,1.0,352.0,157000.0
7,1929,2001,1,2.0,832.0,854,854,1,1.0,5,1.0,2.0,576.0,132000.0
6,1970,1970,1,2.0,1004.0,1004,1004,1,1.0,5,3.0,2.0,480.0,149000.0
4,1967,1967,1,,0.0,1296,1296,2,1.0,6,1.0,2.0,516.0,90000.0
5,2004,2004,1,2.0,1114.0,1114,1114,1,2.0,6,1.0,2.0,576.0,159000.0
5,1958,1965,1,2.0,1029.0,1339,1339,1,1.0,6,1.0,1.0,294.0,139000.0
8,2005,2006,3,4.0,1158.0,1158,2376,3,2.0,9,2.0,3.0,853.0,325300.0
7,1930,1950,1,2.0,637.0,1108,1108,1,2.0,6,1.0,1.0,280.0,139400.0
8,2002,2002,3,3.0,1777.0,1795,1795,2,2.0,7,2.0,2.0,534.0,230000.0
5,1976,1976,1,3.0,1040.0,1060,1060,1,1.0,6,1.0,2.0,572.0,129900.0
5,1968,2001,1,2.0,1060.0,1060,1060,1,2.0,6,1.0,1.0,270.0,154000.0
8,2007,2007,3,3.0,1566.0,1600,1600,2,2.0,7,2.0,3.0,890.0,256300.0
5,1951,2000,1,2.0,900.0,900,900,1,2.0,5,1.0,2.0,576.0,134800.0
