OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageFinish,GarageCars,GarageArea,SalePrice
7,2003,2003,2,2,856,856,1710,2,2,8,1,2,548,208500
6,1976,1976,3,2,1262,1262,1262,2,3,6,1,2,460,181500
7,2001,2002,2,2,920,920,1786,2,2,6,1,2,608,223500
7,1915,1970,3,3,756,961,1717,1,2,7,2,3,642,140000
8,2000,2000,2,2,1145,1145,2198,2,2,9,1,3,836,250000
5,1993,1995,3,2,796,796,1362,1,3,5,2,2,480,143000
8,2004,2005,2,0,1686,1694,1694,2,2,7,1,2,636,307000
7,1973,1973,3,2,1107,1107,2090,2,3,7,1,2,484,200000
7,1931,1950,3,3,952,1022,1774,2,3,8,2,2,468,129900
5,1939,1950,3,3,991,1077,1077,1,3,5,1,1,205,118000
5,1965,1965,3,3,1040,1040,1040,1,3,5,2,1,384,129500
9,2005,2006,0,0,1175,1182,2324,3,0,11,0,3,736,345000
5,1962,1962,3,3,912,912,912,1,3,4,2,1,352,144000
7,2006,2007,2,2,1494,1494,1494,2,2,7,1,3,840,279500
6,1960,1960,3,3,1253,1253,1253,1,3,5,1,1,352,157000
7,1929,2001,3,3,832,854,854,1,3,5,2,2,576,132000
6,1970,1970,3,3,1004,1004,1004,1,3,5,0,2,480,149000
4,1967,1967,3,4,0,1296,1296,2,3,6,2,2,516,90000
5,2004,2004,3,3,1114,1114,1114,1,2,6,2,2,576,159000
5,1958,1965,3,3,1029,1339,1339,1,3,6,2,1,294,139000
8,2005,2006,2,0,1158,1158,2376,3,2,9,1,3,853,325300
7,1930,1950,3,3,637,1108,1108,1,2,6,2,1,280,139400
8,2002,2002,2,2,1777,1795,1795,2,2,7,1,2,534,230000
5,1976,1976,3,2,1040,1060,1060,1,3,6,2,2,572,129900
5,1968,2001,3,3,1060,1060,1060,1,2,6,2,1,270,154000
8,2007,2007,2,2,1566,1600,1600,2,2,7,1,3,890,256300
5,1951,2000,3,3,900,900,900,1,2,5,2,2,576,134800
8,2007,2008,2,0,1704,1704,1704,2,2,7,1,3,772,306000
5,1957,1997,3,3,1484,1600,1600,1,3,6,1,1,319,207500
4,1927,1950,3,3,520,520,520,1,1,4,2,1,240,68500
4,1920,1950,3,3,649,649,1317,1,3,6,2,1,250,40000
5,1966,2006,3,3,1228,1228,1228,1,2,6,2,1,271,149350
8,2007,2007,2,0,1234,1234,1234,2,2,7,1,2,484,179900
5,1959,1959,3,3,1398,1700,1700,1,2,6,1,2,447,165500
9,2005,2005,0,0,1561,1561,1561,2,0,6,0,2,556,277500
8,2004,2005,2,0,1117,1132,2452,3,2,9,0,3,691,309000
5,1994,1995,3,2,1097,1097,1097,1,3,6,2,2,672,145000
5,1954,1990,3,3,1297,1297,1297,1,3,5,0,2,498,153000
5,1953,2007,3,3,1057,1057,1057,1,2,5,2,1,246,109000
4,1955,1955,3,4,0,1152,1152,2,1,6,3,0,0,82000
6,1965,1965,3,3,1088,1324,1324,2,3,6,1,2,440,160000
5,1959,1959,3,3,1350,1328,1328,1,3,5,1,1,308,170000
5,1983,1983,3,2,840,884,884,1,2,5,1,2,504,144000
5,1975,1980,3,2,938,938,938,1,3,5,2,1,308,130250
5,1959,1959,3,3,1150,1150,1150,1,3,6,1,1,300,141000
9,2005,2005,0,0,1752,1752,1752,2,0,6,1,2,576,319900
7,2003,2003,2,0,1434,1518,2149,1,2,6,1,2,670,239686
8,2006,2006,2,2,1656,1656,1656,2,2,7,1,3,826,249700
4,1920,2008,3,3,736,736,1452,2,3,8,3,0,0,113000
5,1966,1966,3,3,955,955,955,1,3,6,2,1,386,127000
6,1997,1997,3,2,794,794,1470,2,3,6,0,2,388,177000
6,1934,1950,3,3,816,816,1176,1,3,6,2,2,528,114500
5,1963,1963,1,2,816,816,816,1,3,5,2,2,516,110000
9,1981,1987,2,0,1842,1842,1842,0,2,5,0,3,894,385000
5,1955,1955,3,3,384,1360,1360,1,3,6,2,2,572,130000
6,1964,1964,3,3,1425,1425,1425,2,3,7,1,2,576,180500
8,1999,2000,2,2,970,983,1739,2,2,7,0,2,480,172500
7,2004,2004,2,2,860,860,1720,2,2,7,1,2,565,196500
10,2006,2006,0,0,1410,1426,2945,3,2,10,0,3,641,438780
5,1972,1972,3,3,780,780,780,1,3,4,2,1,352,124900
6,2004,2004,3,2,1158,1158,1158,1,2,5,2,2,576,158000
5,1920,1996,3,3,530,581,1111,1,1,6,2,1,288,101000
8,2006,2006,2,2,1370,1370,1370,2,2,6,1,2,484,202500
7,1921,1950,3,3,576,902,1710,2,3,9,2,2,480,140000
7,1997,1998,3,2,1057,1057,2034,2,2,8,1,2,645,219500
8,2004,2005,2,0,1143,1143,2473,2,2,9,1,3,852,317000
7,1970,1989,3,2,1947,2207,2207,2,3,7,1,2,576,180000
7,2003,2003,2,2,1453,1479,1479,2,2,7,1,2,558,226000
4,1945,1950,3,3,747,747,747,1,3,4,2,1,220,80000
7,1953,1953,2,3,1304,1304,2287,2,3,7,0,2,667,225000
7,1973,1973,3,2,2223,2223,2223,2,3,8,0,2,516,244000
4,1982,2006,3,3,845,845,845,1,3,4,2,2,360,129500
7,1998,1998,3,2,832,885,1718,2,3,7,0,2,427,185000
5,1954,2003,3,3,1086,1086,1086,1,3,6,2,2,490,144900
3,1915,1950,2,1,840,840,1605,2,3,8,2,1,379,107400
4,1973,1973,3,2,462,526,988,1,3,5,2,1,297,91000
4,1956,1956,3,3,952,952,952,1,3,4,2,1,283,135750
5,1948,2001,3,3,672,1072,1285,1,3,6,2,1,240,127000
4,1968,1968,3,3,1768,1768,1768,2,3,8,3,0,0,136500
5,1910,1981,3,3,440,682,1230,1,3,5,2,2,440,110000
6,1968,1968,3,2,896,1182,2142,2,2,8,0,1,509,193500
6,1998,1998,3,0,1237,1337,1337,2,3,5,0,2,405,153500
8,2007,2007,3,2,1563,1563,1563,2,2,6,1,3,758,245000
5,1960,1960,3,3,1065,1065,1065,1,3,6,2,2,461,126500
7,1995,1996,3,2,384,804,1474,2,3,7,0,2,400,168500
8,1991,1992,2,2,1288,1301,2417,2,2,9,2,2,462,260000
6,2005,2005,2,2,684,684,1560,2,2,6,0,2,400,174000
6,2009,2009,2,2,612,612,1224,2,2,4,1,2,528,164500
3,1915,1982,1,3,1013,1013,1526,1,1,6,3,0,0,85000
4,1994,1995,3,2,990,990,990,1,3,5,3,0,0,123600
4,1950,1950,3,4,0,1040,1040,1,3,4,2,2,420,109900
5,1961,1961,3,3,1235,1235,1235,1,3,6,2,2,480,98600
5,1921,2006,3,2,876,964,964,1,3,5,2,2,432,163500
6,1910,1998,3,3,1214,1260,2291,2,3,9,2,2,506,133900
6,1997,1997,3,2,824,905,1786,2,2,7,1,2,684,204750
6,1993,1993,0,2,680,680,1470,2,3,6,0,2,420,185000
7,1999,1999,2,2,1588,1588,1588,2,2,6,1,2,472,214000
4,1965,1965,3,3,960,960,960,1,3,6,0,1,432,94750
5,1920,1950,3,3,458,835,835,1,3,5,2,1,366,83000
4,1959,1959,3,3,950,1225,1225,1,3,6,3,0,0,128950
6,1977,2001,3,3,1610,1610,1610,2,2,6,1,2,480,205000
6,1985,1985,2,2,741,977,1732,2,2,7,0,2,476,178000
5,1979,1979,3,4,0,1535,1535,2,3,8,2,2,410,118964
7,2009,2009,3,2,1226,1226,1226,2,2,6,1,3,740,198900
7,1931,1950,3,3,1040,1226,1818,1,3,7,2,1,240,169500
8,2003,2004,2,0,1053,1053,1992,2,2,9,1,2,648,250000
4,1885,1995,3,1,641,1047,1047,1,3,6,2,1,273,100000
5,1948,1950,3,3,789,789,789,1,3,5,2,1,250,115000
5,1919,2005,3,3,793,997,1517,2,1,7,3,0,0,115000
6,1977,1977,3,2,1844,1844,1844,2,3,7,1,2,546,190000
6,1954,1972,3,3,994,1216,1855,2,3,7,2,1,325,136900
7,2000,2000,3,2,384,774,1430,2,3,7,0,2,400,180000
7,2007,2007,2,0,1264,1282,2696,2,0,10,0,3,792,383970
6,1953,1953,3,2,1809,2259,2259,2,2,7,2,2,450,217000
6,1945,2002,3,3,1028,1436,2320,2,2,9,2,1,180,259500
6,1999,1999,3,2,729,729,1458,2,3,5,2,2,440,176000
5,1962,1962,3,3,1092,1092,1092,1,3,6,2,1,288,139000
5,2006,2007,3,2,1125,1125,1125,1,3,5,2,2,430,155000
