GrLivArea,OverallQual,TotRmsAbvGrd,GarageCars,KitchenQual,GarageArea,1stFlrSF,TotalBsmtSF,BsmtQual,FullBath,SalePrice
1710,7,8,2,2,548,856,856,3.0,2,12.24769911637256
1262,6,6,2,1,460,1262,1262,3.0,2,12.109016442313738
1786,7,6,2,2,608,920,920,3.0,2,12.317171167298682
1717,7,7,3,2,642,961,756,2.0,1,11.849404844423074
2198,8,9,3,2,836,1145,1145,3.0,2,12.429220196836383
1362,5,5,2,1,480,796,796,3.0,1,11.870606902224587
1694,8,7,2,2,636,1694,1686,4.0,2,12.634606283893019
2090,7,7,2,1,484,1107,1107,3.0,2,12.206077645517674
1774,7,8,2,1,468,1022,952,2.0,2,11.774527900858468
1077,5,5,1,1,205,1077,991,2.0,1,11.678448377988165
1040,5,5,1,1,384,1040,1040,2.0,1,11.771443882099637
2324,9,11,3,3,736,1182,1175,4.0,3,12.75130259456002
912,5,4,1,1,352,912,912,2.0,1,11.87757552297847
1494,7,7,3,2,840,1494,1494,3.0,2,12.540761149388421
1253,6,5,1,1,352,1253,1253,2.0,1,11.964007453736912
854,7,5,2,1,576,854,832,2.0,1,11.790564777297387
1004,6,5,2,1,480,1004,1004,2.0,1,11.91170829631447
1296,4,6,2,1,516,1296,0,0,2,11.407576060361786
1114,5,6,2,2,576,1114,1114,2.0,1,11.976665770490767
1339,5,6,1,1,294,1339,1029,2.0,1,11.842236406331555
2376,8,9,3,2,853,1158,1158,4.0,3,12.692506186542177
1108,7,6,1,2,280,1108,637,2.0,1,11.845109950883979
1795,8,7,2,2,534,1795,1777,3.0,2,12.345838935721968
1060,5,6,2,1,572,1060,1040,3.0,1,11.774527900858468
1060,5,6,1,2,270,1060,1060,2.0,1,11.944714374881176
1600,8,7,3,2,890,1600,1566,3.0,2,12.454107814022272
900,5,5,2,2,576,900,900,2.0,1,11.811554895830454
1704,8,7,3,2,772,1704,1704,4.0,2,12.631343648903034
1600,5,6,1,1,319,1600,1484,2.0,1,12.242891437918386
520,4,4,1,0,240,520,520,2.0,1,11.134603622683905
1317,4,6,1,1,250,649,649,2.0,1,10.596659732783579
1228,5,6,1,2,271,1228,1228,2.0,1,11.914054519303125
1234,8,7,2,2,484,1234,1234,4.0,2,12.100161978566867
1700,5,6,2,2,447,1700,1398,2.0,1,12.016732516077072
1561,9,6,2,3,556,1561,1561,4.0,2,12.533579815765737
2452,8,9,3,2,691,1132,1117,4.0,3,12.6410997921206
1097,5,6,2,1,672,1097,1097,3.0,1,11.884495917930655
1297,5,5,2,1,498,1297,1297,2.0,1,11.938199736300925
1057,5,5,1,2,246,1057,1057,2.0,1,11.599112335481124
1152,4,6,0,0,0,1152,0,0,2,11.314486721293981
1324,6,6,2,1,440,1324,1088,2.0,2,11.982935344196433
1328,5,5,1,1,308,1328,1350,2.0,1,12.04355959836804
884,5,5,2,2,504,884,840,3.0,1,11.87757552297847
938,5,5,1,1,308,938,938,3.0,1,11.777218637129327
1150,5,6,1,1,300,1150,1150,2.0,1,11.856522261533737
1752,9,6,2,3,576,1752,1752,4.0,2,12.675766851909591
2149,7,6,2,2,670,1518,1434,4.0,1,12.387089184491993
1656,8,7,3,2,826,1656,1656,3.0,2,12.428019481065613
1452,4,8,0,1,0,736,736,2.0,2,11.635151947212842
955,5,6,1,1,386,955,955,2.0,1,11.751950239425476
1470,6,6,2,1,388,794,794,3.0,2,12.083910661257521
1176,6,6,2,1,528,816,816,2.0,1,11.648338835562747
816,5,5,2,1,516,816,816,3.0,1,11.608244735642321
1842,9,5,3,2,894,1842,1842,4.0,0,12.861001210669146
1360,5,6,2,1,572,1360,384,2.0,1,11.775297421715827
1425,6,7,2,1,576,1425,1425,2.0,2,12.103491596905931
1739,8,7,2,2,480,983,970,3.0,2,12.058158312538197
1720,7,7,2,2,565,860,860,3.0,2,12.188422799337028
2945,10,10,3,2,641,1426,1410,4.0,3,12.991755706536901
780,5,4,1,1,352,780,780,2.0,1,11.735276702486741
1158,6,5,2,2,576,1158,1158,3.0,1,11.970356641102999
1111,5,6,1,0,288,581,530,2.0,1,11.522885696764481
1370,8,6,2,2,484,1370,1370,3.0,2,12.218500103788143
1710,7,9,2,1,480,902,576,2.0,2,11.849404844423074
2034,7,8,2,2,645,1057,1057,3.0,2,12.299112067295642
2473,8,9,3,2,852,1143,1143,4.0,2,12.666660207428574
2207,7,7,2,1,576,2207,1947,3.0,2,12.100717685412471
1479,7,7,2,2,558,1479,1453,3.0,2,12.328294703023394
747,4,4,1,1,220,747,747,2.0,1,11.289794413577894
2287,7,7,2,1,667,1304,1304,2.0,2,12.323860125621126
2223,7,8,2,1,516,2223,2223,3.0,2,12.404927602627597
845,4,4,2,1,360,845,845,2.0,1,11.771443882099637
1718,7,7,2,1,427,885,832,3.0,2,12.128116509451258
1086,5,6,2,1,490,1086,1086,2.0,1,11.88380602959621
1605,3,8,1,1,379,840,840,1.0,2,11.58432477200052
988,4,5,1,1,297,526,462,3.0,1,11.418625774449598
952,4,4,1,1,283,952,952,2.0,1,11.818577604251555
1285,5,6,1,1,240,1072,672,2.0,1,11.751950239425476
1768,4,8,0,1,0,1768,1768,2.0,2,11.824087219587643
1230,5,5,2,1,440,682,440,2.0,1,11.608244735642321
2142,6,8,1,2,509,1182,896,3.0,2,12.173037959397275
1337,6,5,2,1,405,1337,1237,4.0,2,11.941462360646149
1563,8,6,3,2,758,1563,1563,3.0,2,12.409017571151187
1065,5,6,2,1,461,1065,1065,2.0,1,11.748005492256807
1474,7,7,2,1,400,804,384,3.0,2,12.034696963475044
2417,8,9,2,2,462,1301,1288,3.0,2,12.468440756144114
1560,6,6,2,2,400,684,684,3.0,2,12.066816325306588
1224,6,4,2,2,528,612,612,3.0,2,12.010671928196443
1526,3,6,0,0,0,1013,1013,2.0,1,11.350418300109132
990,4,5,0,1,0,990,990,3.0,1,11.724813914587886
1040,4,4,2,1,420,1040,0,0,1,11.60733523953139
1235,5,6,2,1,480,1235,1235,2.0,1,11.498836682527127
964,5,5,2,1,432,964,876,3.0,1,12.004574385508691
2291,6,9,2,1,506,1260,1214,2.0,2,11.804855999911272
1786,6,7,2,2,684,905,824,3.0,2,12.229549885708273
1470,6,6,2,1,420,680,680,3.0,2,12.128116509451258
1588,7,6,2,2,472,1588,1588,3.0,2,12.273735966890268
960,4,6,1,1,432,960,960,2.0,1,11.459007676978688
835,5,5,1,1,366,835,458,2.0,1,11.326607934898927
1225,4,6,0,1,0,1225,950,2.0,1,11.767187766223199
1610,6,6,2,2,480,1610,1610,2.0,2,12.230770136157428
1732,6,7,2,2,476,977,741,3.0,2,12.08954444723597
1535,5,8,2,1,410,1535,0,0,2,11.68658461118553
1226,7,6,3,2,740,1226,1226,3.0,2,12.200562492481511
1818,7,7,1,1,240,1226,1040,2.0,1,12.040614105490253
1992,8,9,2,2,648,1053,1053,4.0,2,12.429220196836383
1047,4,6,1,1,273,1047,641,1.0,1,11.51293546492023
789,5,5,1,1,250,789,789,2.0,1,11.652696102959753
1517,5,7,0,0,0,997,793,2.0,2,11.652696102959753
1844,6,7,2,1,546,1844,1844,3.0,2,12.154784614286667
1855,6,7,1,1,325,1216,994,2.0,2,11.827013315851762
1430,7,7,2,1,400,774,384,3.0,2,12.100717685412471
2696,7,10,3,3,792,1282,1264,4.0,2,12.85832230788469
2259,6,7,2,2,450,2259,1809,3.0,2,12.28765724080691
2320,6,9,1,2,180,1436,1028,2.0,2,12.466515835145202
1458,6,5,2,1,440,729,729,3.0,2,12.07824495582233
